  0.0000000E+00 -0.4999999      0.8660255      0.8660254      0.5000000    
  9.9999997E-05 -0.4998869      0.8655040      0.8657872      0.4996793    
  1.9999999E-04 -0.4997740      0.8649827      0.8655490      0.4993588    
  2.9999999E-04 -0.4996611      0.8644616      0.8653109      0.4990384    
  3.9999999E-04 -0.4995482      0.8639407      0.8650728      0.4987182    
  4.9999997E-04 -0.4994352      0.8634201      0.8648347      0.4983981    
  5.9999997E-04 -0.4993223      0.8628997      0.8645967      0.4980782    
  6.9999998E-04 -0.4992094      0.8623794      0.8643588      0.4977584    
  7.9999998E-04 -0.4990965      0.8618594      0.8641208      0.4974387    
  8.9999998E-04 -0.4989836      0.8613397      0.8638830      0.4971192    
  9.9999993E-04 -0.4988706      0.8608202      0.8636451      0.4967998    
  1.0999999E-03 -0.4987577      0.8603008      0.8634074      0.4964806    
  1.1999998E-03 -0.4986448      0.8597817      0.8631696      0.4961616    
  1.2999998E-03 -0.4985319      0.8592629      0.8629319      0.4958426    
  1.3999997E-03 -0.4984190      0.8587443      0.8626943      0.4955238    
  1.4999997E-03 -0.4983060      0.8582258      0.8624567      0.4952052    
  1.5999996E-03 -0.4981931      0.8577076      0.8622192      0.4948867    
  1.6999996E-03 -0.4980802      0.8571897      0.8619816      0.4945683    
  1.7999995E-03 -0.4979673      0.8566719      0.8617442      0.4942501    
  1.8999994E-03 -0.4978544      0.8561544      0.8615068      0.4939321    
  1.9999994E-03 -0.4977414      0.8556371      0.8612694      0.4936142    
  2.0999995E-03 -0.4976285      0.8551200      0.8610321      0.4932964    
  2.1999995E-03 -0.4975156      0.8546031      0.8607948      0.4929788    
  2.2999996E-03 -0.4974027      0.8540865      0.8605576      0.4926613    
  2.3999996E-03 -0.4972897      0.8535700      0.8603204      0.4923440    
  2.4999997E-03 -0.4971768      0.8530539      0.8600832      0.4920268    
  2.5999998E-03 -0.4970639      0.8525379      0.8598461      0.4917097    
  2.6999998E-03 -0.4969510      0.8520221      0.8596091      0.4913929    
  2.7999999E-03 -0.4968381      0.8515066      0.8593721      0.4910761    
  2.9000000E-03 -0.4967251      0.8509913      0.8591351      0.4907595    
  3.0000000E-03 -0.4966122      0.8504762      0.8588982      0.4904430    
  3.1000001E-03 -0.4964993      0.8499613      0.8586613      0.4901267    
  3.2000002E-03 -0.4963864      0.8494467      0.8584245      0.4898105    
  3.3000002E-03 -0.4962735      0.8489323      0.8581877      0.4894945    
  3.4000003E-03 -0.4961605      0.8484181      0.8579509      0.4891786    
  3.5000003E-03 -0.4960476      0.8479041      0.8577142      0.4888628    
  3.6000004E-03 -0.4959347      0.8473904      0.8574776      0.4885472    
  3.7000005E-03 -0.4958218      0.8468768      0.8572410      0.4882317    
  3.8000005E-03 -0.4957089      0.8463635      0.8570044      0.4879164    
  3.9000006E-03 -0.4955959      0.8458504      0.8567679      0.4876013    
  4.0000007E-03 -0.4954830      0.8453375      0.8565314      0.4872862    
  4.1000005E-03 -0.4953701      0.8448249      0.8562950      0.4869713    
  4.2000003E-03 -0.4952572      0.8443124      0.8560586      0.4866566    
  4.3000001E-03 -0.4951442      0.8438002      0.8558223      0.4863420    
  4.4000000E-03 -0.4950313      0.8432882      0.8555860      0.4860275    
  4.4999998E-03 -0.4949184      0.8427765      0.8553497      0.4857132    
  4.5999996E-03 -0.4948055      0.8422650      0.8551135      0.4853990    
  4.6999995E-03 -0.4946926      0.8417536      0.8548774      0.4850850    
  4.7999993E-03 -0.4945796      0.8412425      0.8546413      0.4847711    
  4.8999991E-03 -0.4944667      0.8407316      0.8544052      0.4844574    
  4.9999990E-03 -0.4943538      0.8402210      0.8541691      0.4841438    
  5.0999988E-03 -0.4942409      0.8397105      0.8539332      0.4838303    
  5.1999986E-03 -0.4941280      0.8392003      0.8536972      0.4835170    
  5.2999984E-03 -0.4940150      0.8386903      0.8534614      0.4832039    
  5.3999983E-03 -0.4939021      0.8381805      0.8532255      0.4828908    
  5.4999981E-03 -0.4937892      0.8376710      0.8529897      0.4825779    
  5.5999979E-03 -0.4936763      0.8371617      0.8527540      0.4822652    
  5.6999978E-03 -0.4935634      0.8366526      0.8525183      0.4819526    
  5.7999976E-03 -0.4934505      0.8361437      0.8522826      0.4816402    
  5.8999974E-03 -0.4933376      0.8356350      0.8520470      0.4813279    
  5.9999973E-03 -0.4932247      0.8351266      0.8518115      0.4810157    
  6.0999971E-03 -0.4931118      0.8346183      0.8515760      0.4807037    
  6.1999969E-03 -0.4929990      0.8341103      0.8513405      0.4803918    
  6.2999967E-03 -0.4928861      0.8336025      0.8511050      0.4800800    
  6.3999966E-03 -0.4927732      0.8330950      0.8508697      0.4797684    
  6.4999964E-03 -0.4926603      0.8325876      0.8506343      0.4794570    
  6.5999962E-03 -0.4925474      0.8320805      0.8503990      0.4791456    
  6.6999961E-03 -0.4924345      0.8315736      0.8501638      0.4788345    
  6.7999959E-03 -0.4923216      0.8310669      0.8499286      0.4785235    
  6.8999957E-03 -0.4922087      0.8305604      0.8496934      0.4782126    
  6.9999956E-03 -0.4920958      0.8300542      0.8494583      0.4779018    
  7.0999954E-03 -0.4919829      0.8295482      0.8492232      0.4775912    
  7.1999952E-03 -0.4918700      0.8290424      0.8489882      0.4772808    
  7.2999950E-03 -0.4917572      0.8285368      0.8487532      0.4769704    
  7.3999949E-03 -0.4916443      0.8280314      0.8485183      0.4766603    
  7.4999947E-03 -0.4915314      0.8275263      0.8482834      0.4763502    
  7.5999945E-03 -0.4914185      0.8270214      0.8480485      0.4760403    
